tag_a,tag_b,count
blonde_hair,smile,485314.0
breasts,closed_mouth,485142.0
bow,looking_at_viewer,484111.0
long_hair,medium_breasts,484078.0
full_body,solo,482962.0
hat,long_hair,482778.0
looking_at_viewer,thighhighs,480634.0
breasts,dress,479427.0
1girl,brown_eyes,477474.0
1girl,upper_body,474509.0
blonde_hair,blush,473259.0
breasts,long_sleeves,472383.0
breasts,original,470413.0
solo,underwear,470250.0
looking_at_viewer,very_long_hair,469927.0
brown_hair,smile,469390.0
1girl,touhou,469328.0
long_hair,sitting,468474.0
closed_mouth,smile,468256.0
1girl,green_eyes,467734.0
long_hair,original,466856.0
1girl,thighs,465452.0
bikini,swimsuit,464629.0
breasts,small_breasts,464376.0
long_hair,purple_eyes,463907.0
breasts,underwear,463765.0
large_breasts,open_mouth,459574.0
earrings,jewelry,458252.0
breasts,holding,455999.0
black_hair,blush,455381.0
multiple_girls,open_mouth,454730.0
1girl,blue_hair,452916.0
collarbone,looking_at_viewer,452847.0
open_mouth,simple_background,452739.0
blue_eyes,open_mouth,452547.0
breasts,multiple_girls,450031.0
blush,nipples,449859.0
animal_ears,blush,447282.0
jewelry,looking_at_viewer,447258.0
collarbone,long_hair,446483.0
1girl,cowboy_shot,444570.0
dress,smile,443089.0
1girl,multicolored_hair,442162.0
holding,smile,441365.0
blush,multiple_girls,441176.0
long_hair,standing,439628.0
solo,upper_body,437570.0
blush,bow,437421.0
solo,white_shirt,437182.0
open_mouth,skirt,436774.0
:d,smile,436700.0
looking_at_viewer,ribbon,435762.0
looking_at_viewer,medium_breasts,435205.0
hair_between_eyes,smile,434222.0
1girl,sidelocks,432244.0
shirt,short_hair,431910.0
1girl,hetero,431706.0
gloves,smile,431560.0
1girl,ass,430722.0
bow,hair_bow,428906.0
multiple_girls,short_hair,428356.0
blush,closed_mouth,427828.0
breasts,thighs,427568.0
solo,swimsuit,426933.0
long_sleeves,open_mouth,426844.0
hair_ornament,open_mouth,425160.0
looking_at_viewer,standing,424717.0
blush,cleavage,424378.0
pleated_skirt,skirt,423601.0
solo,tail,422779.0
blush,thighhighs,422200.0
solo,twintails,421805.0
bare_shoulders,blush,421080.0
bow,breasts,421007.0
jacket,long_hair,420185.0
bow,smile,419319.0
black_hair,smile,419096.0
long_hair,white_shirt,417941.0
jacket,solo,417537.0
1girl,white_hair,413299.0
looking_at_viewer,original,412844.0
blush,collarbone,412832.0
cowboy_shot,solo,412548.0
solo,touhou,412453.0
shirt,simple_background,411192.0
blush,red_eyes,410593.0
long_hair,underwear,408555.0
1boy,hetero,408330.0
purple_eyes,solo,407970.0
navel,smile,407374.0
1boy,long_hair,406719.0
long_sleeves,skirt,406690.0
cleavage,smile,406376.0
long_hair,nipples,404314.0
blonde_hair,open_mouth,402932.0
breasts,sitting,402635.0
looking_at_viewer,sitting,401871.0
1girl,yellow_eyes,401426.0
red_eyes,smile,399879.0
large_breasts,navel,398276.0
1girl,grey_hair,397906.0
breasts,ribbon,397150.0
brown_hair,open_mouth,396678.0
1boy,breasts,395830.0
long_hair,sidelocks,395427.0
blue_hair,long_hair,395171.0
1girl,pink_hair,393449.0
blush,ribbon,393126.0
bikini,breasts,392987.0
blonde_hair,blue_eyes,392659.0
1boy,blush,391585.0
panties,solo,391035.0
1girl,school_uniform,390247.0
1girl,bikini,390139.0
1girl,ahoge,389827.0
brown_eyes,brown_hair,389051.0
black_gloves,gloves,386670.0
breasts,purple_eyes,386394.0
breasts,standing,385756.0
green_eyes,long_hair,384425.0
bare_shoulders,smile,383515.0
brown_eyes,solo,383198.0
solo,thighs,382896.0
blush,dress,382839.0
hat,looking_at_viewer,381971.0
looking_at_viewer,white_shirt,380375.0
hat,smile,380042.0
long_sleeves,simple_background,379956.0
blush,gloves,379768.0
blue_eyes,short_hair,378608.0
brown_hair,short_hair,378029.0
1girl,small_breasts,378007.0
open_mouth,white_background,377674.0
animal_ears,smile,376893.0
breasts,panties,376710.0
long_hair,swimsuit,376439.0
navel,open_mouth,375921.0
black_hair,short_hair,375637.0
green_eyes,solo,373779.0
long_hair,white_hair,371958.0
blush,underwear,371930.0
